"Date","Price","Open","High","Low","Change %"
"Dec 19, 2019","1.270","1.242","1.282","1.235","2.17%"
"Dec 18, 2019","1.242","1.171","1.255","1.171","6.02%"
"Dec 17, 2019","1.172","1.218","1.218","1.161","0.34%"
"Dec 16, 2019","1.168","1.161","1.205","1.161","-1.35%"
"Dec 15, 2019","1.184","1.160","1.204","1.160","2.11%"
"Dec 14, 2019","1.160","1.160","1.160","1.160","-8.70%"
"Dec 13, 2019","1.270","1.209","1.299","1.209","9.29%"
"Dec 12, 2019","1.162","1.153","1.165","1.126","1.48%"
"Dec 11, 2019","1.145","1.147","1.156","1.133","1.06%"
"Dec 10, 2019","1.133","1.148","1.148","1.100","-2.83%"
"Dec 09, 2019","1.166","1.139","1.173","1.125","1.30%"
"Dec 08, 2019","1.151","1.150","1.156","1.123","0.13%"
"Dec 07, 2019","1.150","1.150","1.150","1.150","2.09%"
"Dec 06, 2019","1.126","1.110","1.132","1.107","2.74%"
"Dec 05, 2019","1.096","1.122","1.122","1.081","1.76%"
"Dec 04, 2019","1.077","1.079","1.114","1.071","-5.11%"
"Dec 03, 2019","1.135","1.144","1.144","1.119","5.19%"
"Dec 02, 2019","1.079","1.039","1.079","1.029","2.66%"
"Dec 01, 2019","1.051","1.043","1.051","1.028","0.82%"
"Nov 30, 2019","1.043","1.043","1.043","1.043","1.81%"
"Nov 29, 2019","1.024","1.009","1.025","1.006","1.99%"
"Nov 28, 2019","1.004","1.027","1.036","0.996","-4.56%"
"Nov 27, 2019","1.052","1.065","1.065","1.046","-3.22%"
"Nov 26, 2019","1.087","1.087","1.101","1.066","0.46%"
"Nov 25, 2019","1.082","1.095","1.106","1.082","-1.23%"
"Nov 24, 2019","1.095","1.090","1.096","1.087","0.46%"
"Nov 23, 2019","1.090","1.090","1.090","1.090","-1.49%"
"Nov 22, 2019","1.107","1.114","1.120","1.084","2.88%"
"Nov 21, 2019","1.076","1.067","1.086","1.038","-0.55%"
"Nov 20, 2019","1.082","1.126","1.127","1.082","-3.99%"
"Nov 19, 2019","1.127","1.156","1.157","1.111","-3.01%"
"Nov 18, 2019","1.162","1.162","1.171","1.147","0.52%"
"Nov 17, 2019","1.156","1.161","1.168","1.151","-0.47%"
"Nov 16, 2019","1.161","1.161","1.161","1.161","0.00%"
"Nov 15, 2019","1.161","1.159","1.177","1.131","-2.11%"
"Nov 14, 2019","1.186","1.217","1.261","1.182","-7.05%"
"Nov 13, 2019","1.276","1.282","1.288","1.262","-0.08%"
"Nov 12, 2019","1.277","1.289","1.321","1.276","-1.08%"
"Nov 11, 2019","1.291","1.297","1.321","1.290","-1.15%"
"Nov 10, 2019","1.306","1.301","1.312","1.296","0.35%"
"Nov 09, 2019","1.301","1.301","1.301","1.301","0.81%"
"Nov 08, 2019","1.291","1.306","1.343","1.276","6.61%"
"Nov 07, 2019","1.211","1.254","1.281","1.211","-3.20%"
"Nov 06, 2019","1.251","1.249","1.271","1.238","3.73%"
"Nov 05, 2019","1.206","1.192","1.216","1.184","3.34%"
"Nov 04, 2019","1.167","1.151","1.192","1.122","1.43%"
"Nov 03, 2019","1.151","1.150","1.191","1.120","0.09%"
"Nov 02, 2019","1.150","1.150","1.150","1.150","3.93%"
"Nov 01, 2019","1.106","1.121","1.137","1.093","-3.32%"
"Oct 31, 2019","1.144","1.124","1.147","1.111","0.62%"
"Oct 30, 2019","1.137","1.180","1.184","1.137","-2.15%"
"Oct 29, 2019","1.162","1.146","1.191","1.142","5.35%"
"Oct 28, 2019","1.103","1.074","1.108","1.074","1.94%"
"Oct 27, 2019","1.082","1.089","1.089","1.073","2.27%"
"Oct 25, 2019","1.058","1.077","1.102","1.047","-3.20%"
"Oct 24, 2019","1.093","1.103","1.107","1.093","-1.35%"
"Oct 23, 2019","1.108","1.151","1.151","1.103","-5.86%"
"Oct 22, 2019","1.177","1.160","1.189","1.160","2.62%"
"Oct 21, 2019","1.147","1.156","1.156","1.122","0.53%"
"Oct 20, 2019","1.141","1.153","1.155","1.137","-1.00%"
"Oct 19, 2019","1.153","1.153","1.153","1.153","3.55%"
"Oct 18, 2019","1.113","1.112","1.141","1.093","3.82%"
"Oct 17, 2019","1.072","1.058","1.081","1.053","2.78%"
"Oct 16, 2019","1.043","1.068","1.086","1.038","3.88%"
"Oct 15, 2019","1.004","1.036","1.049","1.002","-4.29%"
"Oct 14, 2019","1.049","1.075","1.085","1.037","-2.33%"
"Oct 13, 2019","1.074","1.076","1.079","1.045","-0.19%"
"Oct 12, 2019","1.076","1.076","1.076","1.076","5.49%"
"Oct 11, 2019","1.020","0.981","1.020","0.961","14.22%"
"Oct 10, 2019","0.893","0.892","0.909","0.870","0.79%"
"Oct 09, 2019","0.886","0.884","0.891","0.864","0.23%"
"Oct 08, 2019","0.884","0.875","0.885","0.869","0.68%"
"Oct 07, 2019","0.878","0.896","0.910","0.868","-0.11%"
"Oct 06, 2019","0.879","0.902","0.910","0.879","-2.55%"
"Oct 05, 2019","0.902","0.902","0.902","0.902","1.01%"
"Oct 04, 2019","0.893","0.907","0.907","0.883","-4.29%"
"Oct 03, 2019","0.933","0.950","0.950","0.923","-3.62%"
"Oct 02, 2019","0.968","0.957","0.972","0.933","-6.20%"
"Oct 01, 2019","1.032","1.012","1.039","1.001","6.39%"
"Sep 30, 2019","0.970","0.953","0.971","0.940","1.89%"
"Sep 29, 2019","0.952","0.959","0.959","0.952","-0.73%"
"Sep 28, 2019","0.959","0.959","0.959","0.959","0.84%"
"Sep 27, 2019","0.951","0.954","0.955","0.943","-1.45%"
"Sep 26, 2019","0.965","1.000","1.035","0.960","1.79%"
"Sep 25, 2019","0.948","0.950","0.963","0.932","-3.56%"
"Sep 24, 2019","0.983","1.001","1.013","0.978","-0.30%"
"Sep 23, 2019","0.986","0.988","1.016","0.986","-3.14%"
"Sep 22, 2019","1.018","1.018","1.018","1.018","-3.78%"
"Sep 20, 2019","1.058","1.061","1.061","1.033","0.67%"
"Sep 19, 2019","1.051","1.093","1.116","1.051","-7.48%"
"Sep 18, 2019","1.136","1.125","1.146","1.121","0.53%"
"Sep 17, 2019","1.130","1.175","1.177","1.117","-4.88%"
"Sep 16, 2019","1.188","1.183","1.193","1.180","1.28%"
"Sep 13, 2019","1.173","1.145","1.175","1.145","0.77%"
"Sep 12, 2019","1.164","1.147","1.172","1.134","3.10%"
"Sep 11, 2019","1.129","1.134","1.147","1.124","3.77%"
"Sep 10, 2019","1.088","1.081","1.103","1.071","4.51%"
"Sep 09, 2019","1.041","1.066","1.066","1.036","-4.84%"
"Sep 08, 2019","1.094","1.094","1.094","1.094","1.11%"
"Sep 06, 2019","1.082","1.068","1.092","1.058","13.06%"
"Sep 05, 2019","0.957","0.936","0.990","0.920","3.57%"
"Sep 04, 2019","0.924","0.907","0.944","0.878","0.43%"
"Sep 03, 2019","0.920","0.923","0.945","0.920","1.21%"
"Sep 02, 2019","0.909","0.897","0.917","0.888","1.34%"
"Sep 01, 2019","0.897","0.884","0.897","0.884","-1.43%"
"Aug 31, 2019","0.910","0.910","0.910","0.910","2.02%"
"Aug 30, 2019","0.892","0.909","0.932","0.880","2.06%"
"Aug 29, 2019","0.874","0.893","0.901","0.864","-1.13%"
"Aug 28, 2019","0.884","0.892","0.892","0.869","-3.91%"
"Aug 27, 2019","0.920","0.935","0.966","0.913","4.66%"
"Aug 26, 2019","0.879","0.892","0.900","0.857","-1.68%"
"Aug 25, 2019","0.894","0.894","0.894","0.894","0.00%"
"Aug 24, 2019","0.894","0.894","0.894","0.894","-8.59%"
"Aug 23, 2019","0.978","0.954","0.978","0.943","5.16%"
"Aug 22, 2019","0.930","0.944","0.959","0.909","-0.11%"
